LOANID,MEMBERID,BOOKID,ISSUEDATE,RETURNDATE,STATUS,FINE
4154,3504,2379,09-09-2023,15-05-2025,Returned,928
4155,3665,2137,11-09-2023,03-04-2025,Returned,840
4156,3678,2409,12-08-2022,09-06-2024,Returned,1034
4157,3118,2609,30-01-2024,26-01-2025,Returned,424
4158,4000,2265,17-10-2023,07-08-2024,Returned,290
4159,3101,2673,14-05-2024,01-12-2024,Returned,102
4160,3544,2477,10-02-2024,17-03-2025,Returned,502
4161,3705,2058,09-06-2023,22-04-2025,Returned,1066
4162,3894,2869,18-10-2022,23-09-2024,Returned,1112
4163,3094,2174,25-08-2023,,Issued,0
4164,3451,2194,14-02-2024,08-03-2025,Returned,476
4165,3041,2164,24-05-2023,13-10-2024,Returned,716
4166,3527,2853,18-12-2022,30-04-2025,Returned,1428
4167,3397,2490,18-07-2022,14-11-2024,Returned,1400
4168,3243,2177,14-07-2023,15-01-2025,Returned,802
4169,3419,2175,01-11-2023,29-03-2025,Returned,728
4170,3008,2891,02-03-2024,06-04-2025,Returned,500
4171,3197,2639,01-08-2023,12-03-2025,Returned,878
4172,3854,2255,06-08-2023,26-07-2024,Returned,410
4173,3723,2102,23-10-2023,01-08-2024,Returned,266
4174,3433,2797,23-09-2022,10-11-2024,Returned,1258
4175,3040,2335,09-03-2024,24-04-2025,Returned,522
4176,3286,2434,03-11-2023,,Issued,0
4177,3074,2518,31-03-2023,25-08-2024,Returned,726
4178,3728,2716,07-05-2024,20-06-2024,Returned,0
4179,3966,2093,03-01-2024,26-07-2024,Returned,110
4180,3305,2715,04-05-2023,23-05-2025,Returned,1200
4181,3981,2962,14-09-2022,05-07-2024,Returned,1020
4182,3424,2595,01-01-2023,14-08-2024,Returned,882
4183,3388,2546,25-02-2023,24-06-2024,Returned,670
4184,3681,2954,04-06-2023,,Issued,0
4185,3092,2671,20-08-2023,25-11-2024,Returned,626
4186,3107,2964,15-03-2023,09-07-2024,Returned,664
4187,3259,2989,04-08-2023,18-10-2024,Returned,582
4188,3361,2895,20-06-2022,10-03-2025,Returned,1688
4189,3066,2135,03-09-2022,,Issued,0
4190,3284,2939,02-03-2024,25-03-2025,Returned,476
4191,3076,2923,05-04-2024,20-10-2024,Returned,96
4192,3037,2373,13-07-2023,10-03-2025,Returned,912
4193,3765,2462,06-01-2024,02-11-2024,Returned,302
4194,3730,2543,08-09-2023,06-06-2024,Returned,244
4195,3386,2105,23-11-2022,05-11-2024,Returned,1126
4196,3858,2972,11-02-2023,16-01-2025,Returned,1110
4197,3996,2158,31-03-2023,29-11-2024,Returned,918
4198,3837,2985,09-08-2023,12-04-2025,Returned,924
4199,3419,2553,05-03-2023,22-05-2025,Returned,1318
4200,3770,2916,05-06-2023,16-06-2024,Returned,454
4201,3695,2905,18-07-2022,06-12-2024,Returned,1444
4202,3535,2887,07-01-2024,23-12-2024,Returned,402
4203,3139,2838,25-03-2024,06-08-2024,Returned,0
4204,3931,2489,13-07-2022,31-03-2025,Returned,1684
4205,3225,2475,13-12-2023,15-04-2025,Returned,678
4206,3747,2367,03-11-2023,25-03-2025,Returned,716
4207,3975,2506,07-12-2022,,Issued,0
4208,3163,2104,13-09-2022,04-05-2025,Returned,1628
4209,3930,2824,09-08-2022,21-04-2025,Returned,1672
4210,3384,2219,25-11-2023,07-08-2024,Returned,212
4211,3033,2187,11-03-2024,25-08-2024,Returned,34
4212,3882,2862,24-04-2023,15-04-2025,Returned,1144
4213,3533,2297,19-10-2023,02-04-2025,Returned,762
4214,3447,2488,13-01-2023,12-03-2025,Returned,1278
4215,3298,2181,18-07-2022,07-09-2024,Returned,1264
4216,3552,2695,19-10-2023,28-05-2025,Returned,874
4217,3694,2780,01-05-2023,10-02-2025,Returned,1002
4218,3540,2891,04-04-2023,,Issued,0
4219,3931,2352,09-11-2022,18-06-2024,Returned,874
4220,3153,2966,30-03-2024,02-09-2024,Returned,12
4221,3546,2135,25-12-2023,27-02-2025,Returned,560
4222,3411,2720,03-08-2023,,Issued,0
4223,3345,2916,07-05-2024,22-03-2025,Returned,338
4224,3477,2931,29-08-2023,17-11-2024,Returned,592
4225,3852,2834,11-11-2023,01-07-2024,Returned,166
4226,3753,2010,23-06-2023,15-12-2024,Returned,782
4227,3344,2926,28-04-2023,16-12-2024,Returned,896
4228,3568,2683,02-02-2024,18-09-2024,Returned,158
4229,3933,2761,20-04-2023,04-07-2024,Returned,582
4230,3598,2720,17-02-2023,31-12-2024,Returned,1066
4231,3650,2890,20-01-2023,26-09-2024,Returned,930
4232,3933,2694,12-04-2024,21-08-2024,Returned,0
4233,3149,2121,11-05-2024,03-12-2024,Returned,112
4234,3739,2657,17-07-2023,08-09-2024,Returned,538
4235,3679,2763,20-09-2023,22-11-2024,Returned,558
4236,3005,2828,08-12-2023,15-07-2024,Returned,140
4237,3727,2432,06-09-2023,11-05-2025,Returned,926
4238,3778,2291,26-12-2023,18-09-2024,Returned,234
4239,3099,2851,23-01-2023,,Issued,0
4240,3120,2355,03-03-2024,23-12-2024,Returned,290
4241,3199,2919,14-11-2023,13-04-2025,Returned,732
4242,3560,2438,22-06-2023,26-02-2025,Returned,930
4243,3792,2562,15-11-2023,04-11-2024,Returned,410
4244,3437,2771,19-12-2023,,Issued,0
4245,3522,2205,23-03-2024,20-05-2025,Returned,546
4246,3467,2572,29-05-2023,14-11-2024,Returned,770
4247,3080,2860,19-05-2024,11-07-2024,Returned,0
4248,3964,2181,06-10-2022,05-03-2025,Returned,1462
4249,3911,2241,11-02-2023,08-02-2025,Returned,1156
4250,3618,2083,22-08-2023,25-07-2024,Returned,376
4251,3405,2994,17-02-2024,09-07-2024,Returned,0
4252,3913,2252,15-10-2022,24-08-2024,Returned,1058
4253,3939,2199,04-02-2023,06-12-2024,Returned,1042
4254,3764,2381,03-05-2023,31-08-2024,Returned,672
4255,3414,2067,20-03-2023,09-09-2024,Returned,778
4256,3661,2683,07-11-2023,19-07-2024,Returned,210
4257,3714,2626,12-01-2023,18-01-2025,Returned,1174
4258,3835,2210,01-02-2024,15-07-2024,Returned,30
4259,3940,2857,08-02-2023,15-10-2024,Returned,930
4260,3634,2920,17-01-2024,22-05-2025,Returned,682
4261,3264,2818,26-12-2023,29-05-2025,Returned,740
4262,3336,2349,19-04-2024,02-08-2024,Returned,0
4263,3070,2758,30-09-2023,26-06-2024,Returned,240
4264,3151,2931,07-12-2023,24-04-2025,Returned,708
4265,3322,2566,27-06-2023,,Issued,0
4266,3067,2450,16-10-2022,26-06-2024,Returned,938
4267,3447,2522,03-11-2023,06-05-2025,Returned,800
4268,3832,2069,18-08-2022,27-04-2025,Returned,1666
4269,3760,2233,11-05-2024,30-11-2024,Returned,106
4270,3969,2372,10-11-2023,01-08-2024,Returned,230
4271,3354,2311,15-11-2023,15-06-2024,Returned,126
4272,3667,2376,14-11-2022,30-03-2025,Returned,1434
4273,3726,2795,26-08-2022,,Issued,0
4274,3829,2667,01-04-2024,18-02-2025,Returned,346
4275,3092,2325,31-05-2023,03-12-2024,Returned,804
4276,3778,2504,03-04-2024,12-06-2024,Returned,0
4277,3983,2112,07-12-2023,26-01-2025,Returned,532
4278,3406,2886,21-01-2024,09-06-2024,Returned,0
4279,3841,2091,02-01-2024,16-06-2024,Returned,32
4280,3949,2719,10-03-2023,26-09-2024,Returned,832
4281,3012,2709,19-06-2023,21-10-2024,Returned,680
4282,3317,2265,03-02-2023,13-02-2025,Returned,1182
4283,3935,2654,23-04-2023,25-04-2025,Returned,1166
4284,3024,2983,18-10-2023,20-01-2025,Returned,620
4285,3512,2295,10-07-2022,28-12-2024,Returned,1504
4286,3499,2779,10-12-2023,09-01-2025,Returned,492
4287,3631,2714,15-01-2023,12-08-2024,Returned,850
4288,3676,2403,08-12-2023,,Issued,0
4289,3093,2680,26-06-2023,,Issued,0
4290,3352,2894,14-04-2023,08-01-2025,Returned,970
4291,3091,2041,02-08-2023,26-08-2024,Returned,480
4292,3396,2122,20-06-2023,17-09-2024,Returned,610
4293,3353,2312,11-03-2024,29-07-2024,Returned,0
4294,3166,2347,16-05-2023,22-10-2024,Returned,750
4295,3257,2829,03-11-2022,25-10-2024,Returned,1144
4296,3196,2599,23-08-2023,17-07-2024,Returned,358
4297,3625,2519,02-03-2023,25-10-2024,Returned,906
4298,3658,2721,04-11-2023,28-10-2024,Returned,418
4299,3934,2659,09-11-2023,20-08-2024,Returned,270
4300,3246,2066,22-02-2023,17-04-2025,Returned,1270
4301,3516,2440,07-12-2023,,Issued,0
4302,3507,2531,11-10-2023,06-11-2024,Returned,484
4303,3923,2751,17-04-2023,27-07-2024,Returned,634
4304,3636,2337,12-08-2022,20-12-2024,Returned,1422
4305,3576,2598,26-01-2024,04-08-2024,Returned,82
4306,3525,2424,26-05-2024,30-06-2024,Returned,0
4307,3799,2958,27-08-2022,06-07-2024,Returned,1058
4308,3506,2801,22-10-2022,,Issued,0
4309,3717,2396,18-01-2023,,Issued,0
4310,3626,2436,09-04-2023,02-09-2024,Returned,724
4311,3924,2708,02-03-2023,,Issued,0
4312,3818,2641,20-05-2024,20-04-2025,Returned,370
4313,3080,2956,26-05-2023,09-06-2024,Returned,460
4314,3304,2115,25-05-2023,,Issued,0
4315,3824,2301,29-04-2023,09-08-2024,Returned,636
4316,3673,2059,31-07-2022,17-12-2024,Returned,1440
4317,3819,2096,08-11-2023,07-07-2024,Returned,184
4318,3017,2590,11-10-2023,27-03-2025,Returned,766
4319,3358,2522,24-02-2024,26-11-2024,Returned,252
4320,3500,2561,19-11-2022,08-02-2025,Returned,1324
4321,3552,2986,02-01-2024,31-05-2025,Returned,730
4322,3513,2535,21-10-2023,18-09-2024,Returned,366
4323,3630,2510,23-09-2023,22-03-2025,Returned,792
4324,3018,2289,06-01-2024,05-10-2024,Returned,246
4325,3360,2865,18-05-2024,23-06-2024,Returned,0
4326,3262,2748,17-09-2022,31-10-2024,Returned,1250
4327,3904,2634,14-05-2023,07-02-2025,Returned,970
4328,3420,2287,18-02-2023,21-08-2024,Returned,800
4329,3016,2602,09-06-2022,27-05-2025,Returned,1866
4330,3243,2233,22-04-2024,13-03-2025,Returned,350
4331,3607,2567,07-02-2023,14-06-2024,Returned,686
4332,3714,2259,16-07-2022,17-06-2024,Returned,1104
4333,3042,2692,01-01-2024,,Issued,0
4334,3846,2830,23-12-2023,25-03-2025,Returned,616
4335,3408,2634,25-02-2024,26-11-2024,Returned,250
4336,3056,2548,08-01-2023,19-11-2024,Returned,1062
4337,3118,2697,20-10-2023,23-07-2024,Returned,254
4338,3955,2150,18-08-2023,27-05-2025,Returned,996
4339,3746,2674,17-02-2024,08-06-2024,Returned,0
4340,3653,2099,16-10-2022,10-11-2024,Returned,1212
4341,3409,2823,20-10-2023,12-05-2025,Returned,840
4342,3303,2846,12-06-2022,30-11-2024,Returned,1504
4343,3590,2935,17-11-2023,07-11-2024,Returned,412
4344,3215,2174,04-06-2023,26-06-2024,Returned,476
4345,3446,2207,21-07-2023,,Issued,0
4346,3645,2640,24-03-2023,11-02-2025,Returned,1080
4347,3971,2327,27-05-2024,12-02-2025,Returned,222
4348,3768,2518,26-02-2024,16-12-2024,Returned,288
4349,3708,2232,13-07-2023,13-05-2025,Returned,1040
4350,3806,2723,13-06-2022,07-10-2024,Returned,1394
4351,3747,2218,10-08-2023,15-06-2024,Returned,320
4352,3602,2138,01-11-2023,13-09-2024,Returned,334
4353,3305,2243,02-01-2024,25-01-2025,Returned,478
4354,3660,2008,15-10-2023,20-02-2025,Returned,688
4355,3332,2610,04-06-2023,24-12-2024,Returned,838
4356,3832,2015,09-01-2024,10-10-2024,Returned,250
4357,3215,2264,21-01-2024,15-12-2024,Returned,358
4358,3474,2966,02-07-2022,28-03-2025,Returned,1700
4359,3283,2820,10-12-2023,23-08-2024,Returned,214
4360,3642,2423,15-07-2023,08-01-2025,Returned,786
4361,3392,2200,06-08-2023,18-11-2024,Returned,640
4362,3789,2972,03-02-2023,15-05-2025,Returned,1364
4363,3229,2957,28-12-2022,,Issued,0
4364,3450,2757,03-05-2024,15-05-2025,Returned,454
4365,3603,2534,13-03-2023,04-03-2025,Returned,1144
4366,3823,2436,09-03-2023,13-05-2025,Returned,1292
4367,3617,2181,14-03-2023,29-11-2024,Returned,952
4368,3603,2352,13-09-2023,03-09-2024,Returned,412
4369,3057,2135,26-08-2023,12-02-2025,Returned,772
4370,3594,2331,19-10-2023,,Issued,0
4371,3044,2932,25-09-2022,11-03-2025,Returned,1496
4372,3688,2423,15-04-2023,,Issued,0
4373,3454,2789,24-09-2022,29-06-2024,Returned,988
4374,3329,2737,09-10-2022,05-10-2024,Returned,1154
4375,3895,2106,15-10-2023,24-05-2025,Returned,874
4376,3324,2531,13-12-2022,11-11-2024,Returned,1098
4377,3878,2967,06-10-2023,27-08-2024,Returned,352
4378,3571,2917,03-06-2022,26-06-2024,Returned,1208
4379,3401,2287,05-10-2022,14-02-2025,Returned,1426
4380,3024,2246,10-05-2024,17-09-2024,Returned,0
4381,3091,2201,15-08-2023,,Issued,0
4382,3803,2861,25-06-2023,,Issued,0
4383,3268,2259,02-01-2023,06-11-2024,Returned,1048
4384,3664,2934,11-11-2022,28-07-2024,Returned,950
4385,3639,2732,12-07-2022,27-03-2025,Returned,1678
4386,3172,2170,13-11-2022,07-02-2025,Returned,1334
4387,3129,2285,26-06-2022,21-10-2024,Returned,1396
4388,3175,2563,01-08-2023,02-01-2025,Returned,740
4389,3523,2407,21-09-2023,15-06-2024,Returned,236
4390,3674,2700,02-05-2023,17-04-2025,Returned,1132
4391,3846,2560,21-04-2023,07-03-2025,Returned,1072
4392,3525,2913,04-04-2024,27-08-2024,Returned,0
4393,3684,2603,14-01-2024,10-12-2024,Returned,362
4394,3386,2317,14-03-2024,23-09-2024,Returned,86
4395,3348,2530,16-12-2023,31-10-2024,Returned,340
4396,3547,2388,14-12-2022,28-01-2025,Returned,1252
4397,3178,2915,24-02-2023,11-09-2024,Returned,830
4398,3662,2274,02-06-2023,03-03-2025,Returned,980
4399,3592,2284,12-12-2022,06-06-2024,Returned,784
4400,3174,2497,19-09-2023,03-01-2025,Returned,644
4401,3039,2197,25-03-2023,24-10-2024,Returned,858
4402,3159,2960,15-04-2024,30-08-2024,Returned,0
4403,3728,2870,16-11-2022,22-07-2024,Returned,928
4404,3165,2624,28-02-2023,22-03-2025,Returned,1206
4405,3775,2741,29-01-2023,06-05-2025,Returned,1356
4406,3670,2838,14-07-2022,05-08-2024,Returned,1206
4407,3423,2731,13-06-2023,05-01-2025,Returned,844
4408,3291,2315,13-02-2024,15-11-2024,Returned,252
4409,3982,2865,27-09-2022,30-12-2024,Returned,1350
4410,3881,2589,05-03-2024,04-08-2024,Returned,4
4411,3087,2576,13-10-2023,11-09-2024,Returned,368
4412,3312,2723,25-07-2022,,Issued,0
4413,3646,2027,10-12-2022,28-08-2024,Returned,954
4414,3633,2532,03-04-2023,24-02-2025,Returned,1086
4415,3935,2483,16-06-2023,23-06-2024,Returned,446
4416,3959,2583,01-08-2023,14-01-2025,Returned,764
4417,3775,2028,28-02-2024,,Issued,0
4418,3876,2793,14-10-2022,21-03-2025,Returned,1478
4419,3746,2566,06-09-2023,18-08-2024,Returned,394
4420,3216,2749,16-11-2023,21-09-2024,Returned,320
4421,3787,2740,30-12-2022,19-08-2024,Returned,896
4422,3660,2682,24-09-2022,03-05-2025,Returned,1604
4423,3197,2265,11-12-2022,31-05-2025,Returned,1504
4424,3949,2658,24-06-2023,02-03-2025,Returned,934
4425,3033,2317,29-01-2023,04-11-2024,Returned,990
4426,3978,2841,09-08-2022,17-08-2024,Returned,1178
4427,3529,2793,23-01-2024,31-08-2024,Returned,142
4428,3036,2104,13-10-2022,09-08-2024,Returned,1032
4429,3541,2261,15-02-2023,05-07-2024,Returned,712
4430,3679,2265,24-10-2022,29-06-2024,Returned,928
4431,3730,2372,25-01-2023,20-11-2024,Returned,1030
4432,3618,2488,02-10-2022,,Issued,0
4433,3146,2617,28-02-2023,,Issued,0
4434,3923,2134,10-07-2023,08-09-2024,Returned,552
4435,3089,2506,23-05-2024,11-04-2025,Returned,346
4436,3299,2212,18-01-2023,08-06-2024,Returned,714
4437,3460,2485,24-05-2024,11-11-2024,Returned,42
4438,3074,2357,25-09-2022,30-06-2024,Returned,988
4439,3294,2729,20-09-2023,30-03-2025,Returned,814
4440,3588,2038,11-12-2023,30-05-2025,Returned,772
4441,3025,2544,25-04-2023,21-06-2024,Returned,546
4442,3972,2138,09-08-2023,17-09-2024,Returned,510
4443,3574,2205,23-09-2023,06-08-2024,Returned,336
4444,3768,2946,25-05-2024,,Issued,0
4445,3881,2741,30-04-2023,15-05-2025,Returned,1192
4446,3479,2840,13-08-2022,03-07-2024,Returned,1080
4447,3330,2345,19-08-2023,,Issued,0
4448,3405,2709,08-09-2022,25-06-2024,Returned,1012
4449,3880,2359,10-02-2024,02-12-2024,Returned,292
4450,3186,2102,13-04-2023,25-12-2024,Returned,944
4451,3729,2508,10-12-2022,04-11-2024,Returned,1090
4452,3334,2497,14-04-2024,16-09-2024,Returned,10
4453,3697,2050,07-08-2022,,Issued,0
4454,3647,2556,11-11-2023,21-01-2025,Returned,574
4455,3948,2056,01-05-2024,11-06-2024,Returned,0
4456,3559,2403,04-01-2023,29-12-2024,Returned,1150
4457,3577,2720,10-03-2024,05-11-2024,Returned,180
4458,3660,2151,13-11-2022,26-08-2024,Returned,1004
4459,3614,2186,11-11-2022,22-06-2024,Returned,878
4460,3494,2643,05-04-2024,10-12-2024,Returned,198
4461,3792,2033,20-12-2022,13-02-2025,Returned,1272
4462,3274,2044,19-07-2023,23-05-2025,Returned,1048
4463,3798,2949,30-03-2023,30-06-2024,Returned,616
4464,3557,2964,29-05-2023,18-04-2025,Returned,1080
4465,3531,2172,24-07-2022,01-08-2024,Returned,1178
4466,3376,2841,21-01-2023,07-05-2025,Returned,1374
4467,3067,2934,22-10-2023,12-10-2024,Returned,412
4468,3151,2668,05-06-2023,02-10-2024,Returned,670
4469,3991,2746,21-02-2024,04-12-2024,Returned,274
4470,3213,2011,06-01-2024,27-05-2025,Returned,714
4471,3710,2859,25-12-2023,25-07-2024,Returned,126
4472,3948,2742,09-01-2023,02-08-2024,Returned,842
4473,3252,2635,26-04-2023,16-11-2024,Returned,840
4474,3286,2527,27-03-2023,11-03-2025,Returned,1130
4475,3757,2216,17-01-2023,04-03-2025,Returned,1254
4476,3467,2487,21-01-2023,30-07-2024,Returned,812
4477,3192,2838,02-10-2022,,Issued,0
4478,3659,2567,21-09-2023,14-02-2025,Returned,724
4479,3044,2422,20-09-2022,03-12-2024,Returned,1310
4480,3962,2892,05-04-2024,,Issued,0
4481,3663,2099,07-03-2023,,Issued,0
4482,3968,2086,03-07-2022,19-10-2024,Returned,1378
4483,3586,2673,15-03-2023,11-09-2024,Returned,792
4484,3766,2814,30-11-2022,30-01-2025,Returned,1284
4485,3454,2428,19-02-2024,13-02-2025,Returned,420
